"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)"
20007358,125.8,,2.199,0.5023,4.66
20007474,5.54,,1.566,0.2922,7.09
20007480,35.9,,1.568,0.3170,9.45
20007482,2.5999,1.052,1.349,0.3294,33.47
20007753,42.2,,1.467,0.4816,3.12
20007822,2.3896,1.602,1.123,0.1646,37.12
20007839,,0.784,2.165,0.5186,27.11
20007888,2.337,2.298,2.437,0.6633,26.09
20007889,2.741,1.680,1.262,0.3462,36.91
20007977,7.456,,2.226,0.4663,25.16
20008013,8.4,2.3,2.2,0.4313,7.57
20008014,50.09,0.7,1.747,0.4562,1.87
20008034,7.283,,1.83,0.4092,2.02
20008035,,,1.342,0.4626,28.31
20008037,12.98,,1.987,0.4175,5.91
20008176,7.111,,1.575,0.6431,39.59
20008201,23.949,1.859,2.538,0.7067,9.55
20008507,,,1.687,0.5945,14.59
20008566,4.845,1.568,1.506,0.4303,37.98
20008567,8.7573,2.928,2.045,0.4495,8.45
20008709,50.6,,2.529,0.4890,3.52
20009058,,,1.557,0.3597,16.09
20009162,15.13,1.127,1.497,0.5955,9.01
20009172,,,2.71,0.5529,7.84
20009202,,1.617,1.424,0.6077,40.80
20009400,97.1,3.698,2.587,0.5808,36.00
20009856,3.045,1.0,2.242,0.6259,9.83
20009950,6.712,,2.439,0.5329,14.59
20010115,7.319,0.938,1.248,0.3248,15.32
20010145,49.2892,,1.901,0.6329,4.55
20010150,2.965,,2.375,0.5440,45.94
20010165,,0.829,1.235,0.5037,23.90
20010302,19.164,,1.273,0.1369,4.38
20010563,,,1.007,0.2663,63.46
20010636,9.876,0.533,1.885,0.5126,13.58
20010860,,,2.579,0.5744,4.15
20011054,2.57223,,1.979,0.4466,3.08
20011066,8.4958,2.104,1.392,0.3755,36.88
20011284,5.43,,1.74,0.3374,1.99
20011311,,,2.117,0.5359,25.49
20011398,38.6,1.316,1.721,0.3893,15.02
20011405,6.504,3.621,1.46,0.3939,22.86
20011500,73,0.738,1.08,0.3559,10.31
20011885,7.368,1.298,1.703,0.4745,19.43
20012538,2.575,1.663,1.542,0.4063,24.54
20012711,3.4848,,1.186,0.2721,38.49
20012923,3.893,2.060,1.962,0.4920,5.31
20013553,58.,,2.189,0.4640,5.88
20013651,33.644,0.562,1.336,0.3057,17.25
20014402,2.261,0.6,1.715,0.4020,11.42
20014827,,0.9,2.843,0.6655,1.98
20015745,3.2486,,1.72,0.2549,14.43
20015817,11,,1.325,0.1182,13.87
20016064,178.5,4.106,2.849,0.5893,4.54
20016636,19.01,,2.31,0.4682,7.21
20016657,,,2.278,0.4606,24.95
20016816,2.449,,1.443,0.6041,25.92
20016834,9.345,1.87,1.468,0.4422,15.99
20016912,,,1.751,0.2727,24.52
20016960,2.8985,,2.2,0.8589,17.52
20017181,,,2.37,0.6739,10.65
20017182,6.61,2.885,1.387,0.5536,9.27
20017188,5.0638,1.819,2.216,0.6371,29.45
20017274,16.495,3.183,2.733,0.5537,5.57
20017511,5.9902,,1.19,0.3588,9.58
20018106,,,2.444,0.5120,4.22
20018109,4.25,,1.881,0.3679,0.81
20018172,2.37512,,2.425,0.5112,17.83
20018736,2.4753,,2.35,0.4908,2.81
20018882,2.466,,1.685,0.2321,36.81
20019356,6.714,0.91,2.509,0.5597,3.01
20019764,59.263,1.572,2.234,0.4426,1.32
20020086,,,3.183,0.6231,21.77
20020236,10.182,,2.035,0.5602,6.50
20020255,6.804,,2.151,0.4923,9.96
20020425,,,1.564,0.4769,6.99
20020429,2.718,,1.556,0.4642,6.30
20020460,2.7209,2.716,1.877,0.4119,33.93
20020790,2.792,,2.753,0.5562,8.30
20020826,5.313,3.687,2.419,0.6361,31.92
20021088,11.23,2.793,1.706,0.2386,38.46
20021277,7.7,,2.378,0.5204,20.95
20021374,3.405,,1.269,0.1205,23.98
20022099,6.334,0.524,1.104,0.2763,9.85
20022753,10.24,,1.219,0.5698,3.20
20022771,3.782,,1.576,0.5239,11.40
20023183,6.9809,1.098,1.824,0.4009,40.97
20023187,2.5325,,1.847,0.5893,51.33
20023548,,,2.29,0.5176,23.44
20023606,,0.866,1.75,0.3611,14.36
20023714,,,2.128,0.5163,8.40
20024443,4.069,,2.311,0.8223,25.75
20024445,6.811,,2.21,0.5460,23.78
20024475,,,1.975,0.4412,14.63
20024761,,,1.335,0.3058,21.92
20025143,12.132,0.33,1.324,0.2801,1.62
20025330,4.919,3.21,1.54,0.3709,14.33
20025916,4.6021,5.683,2.562,0.4981,15.74
20026166,,,3.301,0.6442,14.78
20026310,,,2.141,0.4685,5.38
20026379,,,1.606,0.5761,8.68
20026663,2.572,,1.546,0.4720,13.53
20026760,5.3,5.400,2.852,0.5576,11.02
20026817,,1.172,2.803,0.5942,3.50
20027002,,,1.744,0.4332,8.70
20027031,,,2.14,0.4249,5.36
20027346,0.068,1.802,1.875,0.3990,36.95
20029075,2.1216,2.000,1.698,0.5083,12.17
20030825,2.62428,,2.436,0.6810,8.74
20030997,,,1.56,0.6434,36.26
20031210,6.379,,2.605,0.5023,8.96
20031221,2.407,,1.723,0.2571,20.22
20031345,2.5163,,2.016,0.3914,6.50
20031346,2.7358,,2.029,0.4298,5.96
20031662,,,1.598,0.5479,18.82
20031669,5.807,,2.137,0.5777,9.54
20032906,2.6411,,2.248,0.4401,18.94
20033342,3.697,0.432,0.7188,0.4176,7.37
20034613,10.87,,2.069,0.3873,6.18
20035107,2.6236,0.929,1.137,0.1442,13.91
20035396,3.259,0.704,1.442,0.4837,4.10
20035432,,,2.501,0.5451,13.14
20035670,,,2.122,0.5964,7.14
20036017,5.79,,1.524,0.3143,5.55
20036183,5.613,2.339,1.551,0.3325,38.22
20036236,2.743,,1.332,0.4237,58.04
20036284,3.844,,1.484,0.5538,46.76
20037336,,,2.253,0.4835,36.67
20037638,3.5301,,1.913,0.5196,5.08
20037655,2.6556,,1.478,0.7524,18.03
20038071,216,,2.089,0.5077,12.74
20038086,2.4104,0.643,1.42,0.5663,23.67
20038091,,2.517,2.169,0.4013,9.33
20038239,,,2.036,0.5756,9.44
20039565,,,1.642,0.3342,8.60
20039572,,1.554,2.037,0.4920,10.02
20039796,223.5,2.131,2.251,0.4679,12.92
20040263,28,0.954,1.495,0.1611,25.85
20040267,4.9567,1.641,1.339,0.8085,34.49
20040329,47,,2.266,0.4544,2.52
20041429,,0.204,1.593,0.5553,2.17
20041440,,,1.575,0.2114,15.11
20042286,77.9,,1.42,0.3917,24.07
20048603,,0.844,1.918,0.4299,5.03
20052340,,,2.212,0.5473,8.08
20052381,4.1103,,1.278,0.1440,7.73
20052387,26,0.890,1.282,0.1896,24.15
20052689,,,1.562,0.2924,10.98
20052750,26.43,1.059,1.427,0.5248,11.17
20052760,14.28,1.0,2.409,0.6235,2.43
20052761,,,1.555,0.2242,19.48
20052762,12.08,6.742,2.417,0.6527,33.85
20052768,4.112,1.75,2.38,0.5754,5.88
20053110,2.7375,,1.644,0.2146,40.62
20053319,143.7,7.,2.723,0.6416,13.84
20053409,,,2.101,0.6283,10.88
20053426,5.03,,1.923,0.5382,22.77
20053429,,,2.023,0.6399,26.79
20053430,9.5819,1.233,2.099,0.4035,60.41
20053435,5.189,,2.311,0.4832,15.35
20053550,,,1.495,0.4196,7.17
20053789,43,0.843,1.371,0.2693,40.79
20054071,51,,1.329,0.1975,23.44
20054401,19.03,1.189,1.711,0.2623,18.95
20054509,0.2029,,1.006,0.2300,1.60
20054660,5.44,,1.477,0.2807,46.69
20054686,9.958,1.349,1.777,0.3417,33.21
20054690,,,1.63,0.2565,35.36
20054789,37.57,1.567,1.776,0.2875,24.47
20055408,,0.461,1.1,0.2246,30.39
20055532,46.08,1.306,1.794,0.6957,38.54
20065674,,,1.665,0.3440,10.95
20065679,7.746,0.918,0.9147,0.2646,1.30
20065690,7.1125,,1.428,0.3633,11.14
20065706,3.4844,,2.397,0.5559,9.64
20065717,20.33,,1.395,0.2809,2.81
20065733,4.185,,1.154,0.4743,4.15
20065803,2.2593,0.78,1.643,0.3833,3.41
20065909,3,,1.091,0.5398,3.56
20065996,3.399,,2.937,0.6043,9.55
20066008,7.09,1.484,1.426,0.3627,61.01
20066063,2.4924,,0.991,0.7200,22.69
20066146,2.375,2.864,0.7876,0.4838,5.41
20066251,2.4629,1.222,1.536,0.1981,11.28
20066253,,,1.334,0.8378,19.50
20066272,502.,0.808,1.508,0.1433,51.31
20066391,2.7645,1.317,0.6424,0.6884,38.88
20066400,,0.411,0.8554,0.5725,9.06
20066407,,,1.198,0.1201,21.77
20066959,,,2.539,0.5657,20.62
20067367,,,1.308,0.2127,9.02
20067381,,,1.32,0.5432,10.67
20067399,,,1.301,0.3462,14.69
20068031,2.55,,1.377,0.1286,15.17
20068063,3.1592,2.301,2.334,0.4579,5.72
20068216,2.429,0.994,1.32,0.3266,17.99
20068267,3.5,0.875,1.51,0.4273,38.83
20068278,3.4523,0.942,1.436,0.1145,2.62
20068346,4.987,0.736,1.508,0.4166,16.70
20068347,6.354,,0.9621,0.3801,17.12
20068348,3.3313,3.512,2.155,0.8409,25.36
20068350,3.21082,1.794,1.669,0.2475,29.57
20068359,18.07,,1.517,0.1742,9.86
20068372,,,1.618,0.4160,8.11
20068548,,1.182,1.707,0.4365,22.71
20068950,45.24,1.650,1.057,0.3443,25.15
20069230,13.894,,1.655,0.6237,6.07
20085182,,1.1,2.221,0.7773,3.12
20085184,24.19,,1.374,0.1846,33.88
20085236,5.057,,1.234,0.3111,12.81
20085275,2.6967,2.506,1.891,0.4422,17.72
20085490,9.0583,,3.763,0.6608,2.57
20085585,11.6,,1.298,0.3562,4.08
20085628,2.8228,0.775,1.592,0.3316,13.03
20085640,,,1.58,0.4858,4.51
20085709,3.573,2.230,1.646,0.3379,24.84
20085713,5.37,3.484,1.924,0.6386,10.78
20085770,,,0.998,0.3452,33.18
20085774,55.,0.939,1.403,0.3289,13.59
20085804,2.6761,2.272,1.721,0.3542,27.66
20085818,19.451,2.028,1.657,0.4164,62.72
20085839,2.45,1.140,1.654,0.2483,9.32
20085867,700.,,1.831,0.3019,0.94
20085938,2.5141,,1.854,0.4839,9.14
20085953,28.08,0.59,0.7387,0.7031,12.61
20085989,7.6638,1.462,0.8831,0.6328,17.06
20085990,6.538,0.451,1.008,0.3112,5.36
20086039,122.2,2.22,1.76,0.5788,7.13
20086067,9.196,1.245,1.817,0.3234,30.54
20086324,7.161,2.102,1.967,0.4345,34.60
20086326,6.36,1.348,1.845,0.3627,34.31
20086450,6.6064,,0.968,0.4148,18.11
20086666,206,1.165,1.463,0.4269,29.01
20086667,53.756,0.745,0.8594,0.5947,14.29
20086819,3.0239,0.802,1.996,0.5057,10.06
20086829,3.0996,1.823,1.463,0.5748,14.37
20086878,15.72,,1.342,0.6185,9.47
20087024,28.2,,1.197,0.1898,14.43
20087025,,,1.227,0.4835,25.32
20087309,2.1651,0.568,0.8475,0.4631,34.74
20087311,,1.948,1.591,0.5123,7.70
20087684,2.5712,,0.8587,0.6428,19.23
20088188,2.6906,1.371,2.009,0.3909,11.35
20088213,,0.912,0.954,0.5952,17.81
20088254,38.56,0.800,1.182,0.6295,1.52
20088263,13.17,5.748,2.097,0.4323,38.79
20088264,,,2.148,0.4519,12.07
20088710,2.4004,0.760,1.061,0.2702,21.90
20088959,6.73,,1.723,0.5639,53.84
20089136,14.39,,1.356,0.2530,1.91
20089355,40.553,2.038,1.787,0.3085,22.66
20089830,2.6149,5.067,2.077,0.5072,43.66
20089958,3.265,,1.642,0.8864,9.91
20089959,5.527,1.407,1.735,0.5284,42.36
20090075,7.879,2.233,2.134,0.5758,8.91
20090147,,,1.474,0.3316,27.99
20090367,39.,1.748,1.156,0.4263,16.88
20090373,,,1.627,0.2044,9.87
20090403,505.,0.572,1.234,0.2801,19.01
20090416,43.58,0.968,1.695,0.4921,7.83
20096189,,3.605,1.82,0.3076,13.99
