"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)"
3555675,,,1.988,0.6733,6.34
3555676,,,1.987,0.7542,1.57
3555677,,,2.518,0.5405,15.87
3555678,,,1.382,0.3370,17.73
3555679,,,1.402,0.4718,2.55
3555680,,,2.479,0.5757,0.13
3555707,,,2.186,0.4313,23.68
3555708,,,2.616,0.5820,4.88
3555763,,,2.264,0.7834,3.65
3555764,,,3.035,0.7046,13.72
3555765,,,1.023,0.3275,21.28
3555766,,,1.813,0.3983,20.57
54304638,,,2.552,0.4979,28.14
3555767,,,2.103,0.5390,0.92
3555768,,,1.386,0.3619,7.90
3555769,0.1,,1.402,0.3193,1.51
3555789,,,2.687,0.5310,36.09
3555790,,,2.241,0.4317,29.93
3555793,,,1.278,0.4405,56.61
3555794,,0.195,1.893,0.4926,13.96
3558389,,,2.628,0.7111,8.16
3555795,,,2.501,0.6074,7.13
3555886,,,1.261,0.4451,9.09
3555887,,,1.52,0.3331,5.18
3555888,,,2.226,0.6169,8.07
3555910,,,1.343,0.1432,20.70
3555911,,,2.802,0.7268,5.51
3555912,,,1.377,0.2213,3.11
3555913,,,1.41,0.5482,5.54
3555914,,,1.314,0.0982,20.03
3556018,,,1.123,0.1536,0.91
3556048,,,1.558,0.3901,18.03
3556125,,,1.038,0.0209,3.05
3556126,,,1.921,0.8034,5.32
3556127,,,0.9512,0.0974,0.36
3557082,,,1.402,0.6102,18.15
3557083,,,1.51,0.3136,8.94
3557084,,,1.627,0.2962,2.92
3557087,,,1.416,0.4617,10.82
3557088,,0.994,3.056,0.6235,20.36
3557481,,,1.829,0.4650,4.75
3557636,,,2.492,0.9453,3.67
3557752,,,1.256,0.3944,3.50
3557758,,,2.016,0.5392,4.85
3557783,,,1.53,0.5243,40.87
3557784,,,2.924,0.6384,3.98
3557791,,,1.402,0.1181,27.01
3557804,,,1.847,0.4099,1.35
3557824,,,1.939,0.5446,10.96
3556206,,,0.8363,0.2056,5.24
3556207,,,1.527,0.3429,3.65
3556208,10.813,,1.177,0.1584,2.76
3556959,,,2.236,0.6199,19.61
3556961,,,1.414,0.4255,4.51
3556962,,,1.589,0.5103,2.06
3556963,,,1.301,0.2828,2.29
3556966,,,2.369,0.5366,3.82
3556968,3.93,,1.726,0.7186,2.65
3556969,,,1.971,0.4141,34.51
3556970,,,1.811,0.4714,10.45
3556971,,,2.442,0.4996,7.22
3556972,,,1.802,0.4422,1.45
3557081,,,1.08,0.2884,0.12
3557086,,,1.289,0.2150,3.95
3557193,,,2.472,0.4759,51.48
3557089,,,1.131,0.1783,7.72
3557196,,,1.123,0.1153,34.82
3557197,,,1.286,0.5233,2.69
3557198,,,1.108,0.0950,4.57
3557199,,,1.956,0.6752,1.07
3557200,,,2.194,0.5285,8.45
3557330,,,0.8574,0.2328,0.27
3557331,,,1.878,0.5039,11.00
3557201,,,1.016,0.5490,7.71
3557332,,,1.507,0.3399,9.17
3557334,,,2.206,0.7610,11.21
3557335,,,1.391,0.2795,9.93
3557336,,,1.978,0.4793,7.75
3557338,,,1.367,0.2667,4.08
3557482,,,1.408,0.5365,8.08
3557483,,,1.344,0.2298,26.44
3557484,,,1.049,0.1562,30.36
3557485,,,1.473,0.5492,7.77
3557486,5.567,,2.149,0.6117,11.56
3557487,,,2.836,0.6359,12.24
3557529,,,1.098,0.2962,15.51
3557530,,,1.01,0.1875,14.88
3557531,,,1.978,0.4826,9.48
3557532,,,1.692,0.7047,13.41
3557533,,,2.095,0.4865,1.75
3557535,,,0.8771,0.3223,4.12
3557536,,,0.883,0.1462,0.19
3557537,,,1.571,0.2564,20.02
3557543,,,0.6996,0.4371,6.68
3557544,,,1.294,0.1789,9.61
3557545,,,1.018,0.3109,0.96
3557546,,,1.802,0.7537,6.83
3557822,,,2.647,0.6239,23.35
3557637,,,4.816,0.7701,17.30
3557825,,,1.271,0.4550,15.70
3557826,,,0.7984,0.5847,24.14
3557827,,,1.536,0.3435,5.81
3557828,,,1.182,0.1325,10.59
3557829,,,1.035,0.2292,0.28
3557843,,,0.9568,0.0499,10.59
3557844,0.36667,,0.8398,0.2753,25.08
3557878,,,1.572,0.3583,1.20
3557879,,,1.97,0.6599,1.04
3557880,,,2.021,0.7724,6.08
3557955,,,1.17,0.1328,20.16
3557956,,,2.288,0.6382,0.14
3557957,,,2.621,0.6427,3.70
3557958,,,1.104,0.0832,11.60
3557959,,,1.936,0.5150,3.42
3558194,,,2.854,0.6894,8.11
3558196,,,2.294,0.5976,2.51
3558197,,,1.506,0.3640,1.08
3558276,,,1.475,0.4834,2.34
3558277,,,2.228,0.6498,15.05
3558278,,,0.8977,0.1648,8.72
3558279,,,1.096,0.2432,3.37
3558280,,,1.632,0.3013,31.76
3558281,,,2.057,0.4976,10.36
3558282,,,1.329,0.3701,9.74
3558372,,,0.8557,0.2737,3.02
3558373,0.311546,,1.769,0.3953,7.14
3558374,,,2.291,0.7501,6.26
3558375,,,1.996,0.6902,3.91
3558376,,,1.604,0.3420,9.48
3558377,,,2.559,0.6287,2.60
3558378,,,1.098,0.3227,10.03
3558379,,,1.331,0.3732,10.42
3558380,,,0.982,0.2284,30.46
3558381,,,1.01,0.4509,11.56
3558382,,,1.098,0.1341,2.82
3558383,,,1.571,0.3761,19.26
3558385,,,1.136,0.2390,18.38
3558386,,,2.343,0.7430,4.22
3558387,,,1.38,0.4187,20.11
3558388,,,0.7308,0.6599,3.00
3558897,,,1.521,0.4109,3.84
3558898,,,1.671,0.3993,8.35
3558899,,,1.905,0.5034,1.00
3559544,,,2.372,0.4760,11.56
3559546,,,1.316,0.3761,6.52
3559547,,,1.633,0.3163,18.65
3559548,,,2.153,0.7813,10.12
3559597,,,1.538,0.4656,8.44
3559595,,,2.437,0.7062,1.35
3559596,,,1.151,0.3714,0.56
3559598,,,1.288,0.7390,13.40
3559599,,,1.653,0.5403,3.36
3559600,,,1.081,0.2816,16.78
3559737,,,1.722,0.4422,24.16
3559739,,,2.427,0.8802,9.89
3559740,,,1.26,0.2776,4.30
3559741,,,0.927,0.1779,10.36
3559781,,,1.358,0.3592,13.29
3559782,,,0.9115,0.2788,10.83
3559783,,,1.631,0.8501,25.26
3559784,,,1.581,0.6187,6.51
3559839,,,1.191,0.5683,10.97
3559841,,,1.545,0.6320,10.98
3559842,,,1.565,0.7861,6.75
3559843,,,0.829,0.3075,3.43
3559905,,,1.664,0.3887,22.64
3559906,,,1.533,0.3599,1.85
3559907,,,1.372,0.5545,2.21
3559908,,,0.9328,0.1761,10.57
3559909,,,0.8388,0.2493,12.43
3559910,,,2.19,0.5700,3.23
3559911,,,1.154,0.2150,2.97
3559912,,,1.384,0.2758,12.56
3560813,4.976,,3.282,0.6246,8.71
3560053,,,1.448,0.1216,53.56
3560054,,,0.9253,0.2230,13.07
3560055,,,2.572,0.6603,11.12
3560056,,,1.415,0.2316,8.26
3560057,,,1.079,0.1155,13.95
3560058,,,1.275,0.1756,17.98
3560079,,,0.9799,0.3516,5.16
3560080,,,1.368,0.2241,22.66
3560081,,,2.371,0.5188,2.72
3560129,,,1.95,0.7528,6.20
3560130,,,1.038,0.0525,8.27
3560131,,,1.529,0.3540,2.48
3560132,,,1.678,0.3818,0.41
3560133,,,1.128,0.3412,3.17
3560196,,,2.127,0.5297,1.43
3560197,,,1.904,0.4765,15.87
3560198,,,1.698,0.2951,6.17
3560548,,,1.311,0.3196,3.37
3560549,,,1.936,0.3923,31.65
3560550,,,2.452,0.5217,1.30
3560770,,,2.365,0.8816,7.94
3560771,,,2.051,0.5910,2.16
3560772,,,2.216,0.4810,7.39
3560814,,,1.055,0.4468,24.79
3560815,,,1.33,0.2227,3.52
3560816,,,1.057,0.3464,3.62
3560817,,,1.507,0.3800,12.49
3560818,,,1.755,0.6442,0.69
3560912,,,1.752,0.6732,9.95
3560913,,,1.239,0.0475,23.14
3560914,,,1.751,0.3837,8.52
3561030,,,2.069,0.5313,5.13
3574529,,,2.21,0.4117,4.74
3560915,,,1.803,0.5911,9.83
3560916,,,2.436,0.5446,3.47
3560917,,,2.248,0.4908,2.54
3560918,,,2.024,0.5449,4.07
3560919,,,1.389,0.3680,0.95
3560920,,,1.575,0.3232,34.89
3560921,,,2.054,0.5184,4.04
3560922,,,1.4,0.5120,14.57
3561024,,,1.837,0.5801,7.00
3561025,,,2.094,0.4956,5.27
3561026,,,1.361,0.2971,5.72
3561027,,,1.784,0.5297,12.99
3561029,,,0.8147,0.2924,6.25
3561031,,,0.8327,0.5446,15.77
3561032,,,1.493,0.1319,29.87
3561033,,,2.394,0.7713,11.26
3561034,,,1.141,0.2048,0.85
3561771,,,1.541,0.3090,2.47
3561772,,,1.315,0.3752,7.23
3562032,,,1.593,0.5203,4.05
3562033,,,2.057,0.5089,10.22
3562318,,,2.717,0.5549,16.59
3562319,,,1.171,0.3462,26.50
3562320,,,0.8638,0.1985,15.29
3562321,,,0.8963,0.5265,20.13
3562322,,,0.7817,0.5190,49.33
3562324,,,0.7901,0.4188,7.69
3562546,,,1.333,0.1394,9.97
3562548,,,1.024,0.4676,13.95
3562549,,,1.824,0.5800,2.77
3562830,0.12251,,0.869,0.2577,8.51
3562831,,,2.447,0.5581,1.35
3562832,,,1.263,0.2543,1.64
3562834,,,1.083,0.1624,6.06
3562865,,,1.034,0.6444,2.33
3563434,,,1.966,0.3523,8.95
3562866,,,3.361,0.9226,19.29
3563277,,,0.9705,0.1882,18.54
3563278,,,3.086,0.6898,10.35
3563279,,,2.317,0.5473,17.38
3563339,,,3.247,0.6325,19.55
3563343,8.,,1.24,0.2261,24.19
3563424,,,1.918,0.3957,8.80
3563425,,,2.362,0.6445,11.65
3563426,,,2.183,0.4300,22.40
3563431,,,1.928,0.5593,9.17
3563432,,,1.262,0.1738,11.10
3563433,,,1.344,0.2864,22.86
3563491,,,2.018,0.7432,33.81
3563708,,,2.673,0.6394,14.73
3563709,,,1.303,0.2122,3.48
3563710,,,1.446,0.3200,4.65
3563920,,,3.268,0.6239,13.11
3563857,3.9398,,1.92,0.4806,3.73
3563858,,,1.637,0.3078,11.92
3563859,6,,2.814,0.6926,7.87
3563860,,,1.928,0.4506,7.11
3563861,,,1.899,0.6000,11.21
3564018,,,1.703,0.2669,29.31
3564019,,,2.205,0.6135,3.45
3564020,,,2.33,0.5555,0.67
3564021,,,0.9137,0.2248,8.13
3564039,,,0.9183,0.2431,3.97
3564040,,,1.055,0.1366,11.29
3564142,,,1.249,0.5160,1.13
3564143,,,1.641,0.2891,10.44
3564144,,,1.966,0.6077,1.99
3564145,,,2.203,0.8035,6.83
3564246,,,2.235,0.5230,2.14
3564247,,,1.374,0.3116,1.09
3564248,,,1.18,0.0802,3.75
3564249,,,1.188,0.1098,3.06
3564250,,,1.64,0.4076,15.48
3564591,,,2.169,0.4495,3.09
3564719,,,2.205,0.5988,3.87
3564720,,,1.109,0.4260,15.75
3564852,,,2.035,0.5125,5.43
3564590,,,1.185,0.2876,41.62
3564723,,,2.708,0.5228,10.81
3564724,,,1.112,0.3576,21.95
3564725,,,1.54,0.3248,35.65
3564854,,,1.264,0.4127,2.56
3565066,,,0.8734,0.2824,1.55
3565278,,,1.013,0.4213,17.58
3565336,,,3.135,0.6367,21.84
3565392,,,1.258,0.1833,13.46
3565393,,,2.176,0.5240,17.48
3565394,,,1.141,0.2028,1.38
3565395,,,1.31,0.2150,21.60
3565416,,,2.072,0.4074,9.36
3565474,3.96,,1.299,0.7258,24.70
3566813,,,2.154,0.4969,8.90
3566360,,,0.8443,0.3636,4.80
3566441,8.2,,2.207,0.9547,5.89
3566463,,,1.584,0.2870,8.63
3566464,,,2.6,0.6149,10.01
3566465,,,1.008,0.0859,22.49
3566466,,,2.34,0.4595,18.53
3566530,,,2.25,0.5163,8.36
3566531,,,2.072,0.3948,7.35
3566532,,,2.271,0.4823,19.29
3566534,,,1.569,0.3802,32.30
3566606,,,2.299,0.6193,2.55
3566627,,,2.437,0.5581,3.81
3566628,,,1.701,0.4288,1.57
3566629,,,1.906,0.7320,11.35
3566630,,,2.436,0.6105,1.25
3566694,,,2.12,0.4238,4.12
3566695,,,1.955,0.8761,4.40
3566696,,,2.553,0.6124,4.09
3566698,,,1.478,0.2903,5.45
3566699,,,0.6487,0.6030,16.87
3566814,,,1.602,0.3507,3.32
3566974,,,2.249,0.6773,5.81
3566975,,,2.403,0.5751,4.03
3566976,,,1.95,0.5521,6.60
3567472,,,1.712,0.3913,22.50
3567473,,,1.781,0.3172,10.02
3567474,,,2.306,0.7504,22.89
3567519,,,2.241,0.8156,14.18
3567971,,,2.122,0.6496,25.69
3567537,,,1.931,0.4579,37.55
3567572,,,1.697,0.7790,39.38
3567573,,,2.414,0.6926,7.39
3567657,,,1.461,0.2741,12.22
3567658,,,1.383,0.3064,4.86
3567880,,,1.328,0.2297,9.61
3567972,,,2.447,0.6372,3.57
3567991,,0.852,2.912,0.6518,19.22
3567992,,,1.248,0.1507,24.90
3567993,,,3.198,0.7324,10.50
3567994,,,1.983,0.4367,70.07
3567995,6.69,,2.622,0.6209,1.54
3567996,,,1.663,0.2995,33.55
3568014,,,2.613,0.5187,41.51
3568056,,,1.434,0.1371,10.47
3568057,,,1.793,0.4150,6.87
3568291,,,2.544,0.6168,24.73
3568303,0.19372,,1.056,0.0371,2.45
3568304,,,1.354,0.7272,24.85
3568305,,,2.092,0.4649,8.57
3568306,,,1.221,0.2084,10.39
3568307,,,2.113,0.4669,7.51
3568308,,,2.156,0.4385,1.70
3568319,,,1.35,0.6651,7.30
3568320,,,1.315,0.1891,41.12
3568321,,,1.431,0.3977,13.46
3568328,,,1.783,0.3023,6.54
3568329,,,1.056,0.2752,3.26
3568337,,,2.019,0.4735,8.51
3568372,,,2.281,0.5219,7.91
3568373,,,2.328,0.4681,41.61
3568374,,,2.159,0.4533,9.60
3568375,,,1.561,0.3229,4.49
3568377,,,1.122,0.1101,5.68
3568385,,,2.415,0.4788,8.26
3568386,,,2.377,0.5148,5.58
3568422,,,1.901,0.4204,37.27
3568423,,,2.265,0.4807,5.06
3568559,,,1.839,0.3924,15.46
3568564,,,2.28,0.5550,7.99
3569037,,,2.136,0.4368,6.91
3572227,,,2.16,0.5192,9.14
3572706,,,0.904,0.5241,27.74
3573072,,,2.284,0.5005,1.23
3573148,,,2.166,0.4093,7.47
3573149,,,1.944,0.7178,11.55
3573150,,,2.423,0.5570,2.41
3573151,,,2.133,0.4254,2.99
3573152,,,1.601,0.3023,13.70
3573153,,,1.329,0.1591,12.83
3573155,,,2.596,0.5422,12.44
3573156,5.92,,2.345,0.4538,2.30
3573157,,,1.396,0.2797,4.77
3573839,,,2.143,0.3977,6.23
3574100,,,1.656,0.4431,5.01
3574101,,,1.741,0.3350,5.38
3574131,,,2.229,0.4736,6.78
3574132,,,2.111,0.4119,6.18
3574133,,,2.623,0.5197,28.07
3574134,,,2.208,0.7502,6.91
3574135,,,2.442,0.5640,9.26
3574334,,,2.111,0.4375,6.90
3574335,,,2.06,0.5275,4.31
3574344,,,1.631,0.4390,16.93
3574593,,,1.244,0.1753,13.99
3574772,,,1.658,0.4780,1.76
3574786,,,3.004,0.7170,10.41
3574819,,,2.118,0.7255,6.05
3575154,,,1.017,0.2036,0.75
3575163,,,1.291,0.2143,2.87
3576630,,,3.113,0.6385,4.39
3576729,,,0.9512,0.2425,4.91
3576730,,,2.123,0.4524,6.49
3574783,,,1.806,0.5151,3.73
3574785,,,2.142,0.4252,6.71
3574812,,,2.209,0.4446,5.91
3574820,,,1.213,0.1292,1.95
3574821,,,2.516,0.6348,5.74
3574829,8.3,,1.613,0.3149,13.07
3574830,,,1.304,0.2460,4.36
3574901,,,2.104,0.4450,9.46
3574902,,,2.17,0.5443,8.06
3574903,,,1.345,0.2286,21.87
3575216,,,1.671,0.5341,25.32
3575219,,,1.769,0.4138,45.77
3838789,,,3.319,0.6737,11.72
3576468,,,2.135,0.4183,7.26
3576469,,,1.678,0.5011,17.60
3576470,,,2.643,0.5986,1.07
3576527,,,1.753,0.3582,11.16
3576629,,,2.724,0.6005,11.43
3576631,,,2.573,0.5628,1.39
3576672,,,1.989,0.3855,17.56
3576673,,,2.185,0.5355,8.45
3576674,,,1.768,0.3974,10.41
3576675,,,2.277,0.5036,8.05
3576726,,,1.216,0.4387,18.78
3576728,,,1.06,0.3826,19.41
3576785,,,1.44,0.3009,2.10
3576890,,,2.174,0.4919,4.17
3576891,,,2.578,0.5139,13.57
3576960,,,2.417,0.5788,1.60
3576998,,,2.345,0.4747,4.49
3577067,,,2.355,0.5216,11.23
3577068,,,2.128,0.6364,21.50
3577069,,,1.506,0.3376,2.22
3577116,,,1.241,0.5585,7.86
3577159,,,2.048,0.4587,1.16
3582011,,0.617,2.816,0.6372,7.19
3577448,,,1.775,0.3054,2.26
3577534,,,1.466,0.2245,7.01
3577535,,,2.553,0.5893,6.75
3577945,,,1.332,0.3741,5.00
3578559,,,2.72,0.5974,9.78
3578624,,,0.9368,0.3656,25.02
3578625,,,1.923,0.4518,15.85
3578626,,,1.775,0.5207,2.63
3578627,,,1.55,0.3091,3.79
3578628,,,1.528,0.3470,5.99
3578686,,,2.398,0.5709,14.17
3578687,,,1.727,0.3961,13.68
3578688,,,2.018,0.8038,12.06
3578689,,,1.118,0.2164,6.15
3578822,,,2.751,0.6086,16.96
3578824,,,2.526,0.7998,6.89
3578825,,,1.345,0.2224,6.68
3578826,,,1.503,0.2942,6.29
3578827,,,2.202,0.4959,7.34
3578828,,,1.921,0.3566,7.42
3578829,,,2.344,0.4743,3.98
3578830,,,2.798,0.7989,17.66
3578831,,,1.425,0.2762,6.30
3578912,,,1.546,0.2665,24.51
3578917,,,1.508,0.3608,18.50
3578913,,,1.09,0.3195,11.10
3578914,,,1.557,0.1821,28.62
3578915,,,1.181,0.5258,16.09
3578916,,,2.446,0.5721,9.31
3578918,,,1.691,0.4507,6.17
3578919,,,2.261,0.4337,4.20
3578920,,,1.445,0.2483,5.40
3578921,,,2.889,0.5990,24.02
3578922,,,1.884,0.7295,34.45
3578973,,,1.774,0.3041,4.58
3578974,,,2.558,0.6155,26.63
3578975,,,2.442,0.5865,7.02
3578976,,,2.016,0.4035,9.26
3578977,,,1.244,0.1065,25.36
3578978,,,1.712,0.4579,2.65
3578979,,,2.157,0.4256,6.72
3578980,,,1.725,0.4768,9.91
3578982,,,2.176,0.5911,2.95
3578981,,,2.499,0.5916,1.60
3579073,,,1.894,0.6115,1.21
3579074,,,2.974,0.5806,11.84
3579075,,,2.987,0.5786,18.68
3579076,,,2.264,0.4447,26.57
3579077,,,1.362,0.2979,7.80
3579078,,,1.396,0.6641,19.24
3579079,,,1.354,0.1610,9.26
3579080,,,2.327,0.4650,5.52
3579081,,,2.409,0.5491,5.84
3579082,,,1.974,0.5258,5.82
3579457,,,1.475,0.1634,14.74
3579459,,,2.289,0.5384,7.45
3579460,0.017,,2.522,0.6668,2.38
3579622,,,2.472,0.5555,1.68
3579623,,,2.505,0.7435,6.88
3579624,,,2.468,0.5433,3.42
3579625,,,2.415,0.5311,7.68
3579928,,,2.188,0.4059,4.51
3579748,,,1.217,0.2296,31.93
3579749,,,2.233,0.4276,24.94
3579750,,,1.441,0.2813,21.75
3580053,,,3.056,0.5808,22.58
3580054,,,2.052,0.4806,1.84
3580055,,,1.163,0.1451,25.50
3580056,,,2.491,0.6522,0.53
3580319,,,2.239,0.6032,37.07
3580320,,,1.224,0.1053,5.87
3580321,,,1.876,0.3865,4.64
3580322,,,1.748,0.3636,27.82
3580323,,,2.509,0.5962,1.39
3580324,,,2.459,0.5934,7.86
3580325,,,1.528,0.2929,16.03
3580326,,,1.998,0.5670,4.45
3580665,,,2.583,0.6536,10.30
3580959,,,2.131,0.4556,2.13
3580960,,,2.482,0.4823,19.00
3581668,,,2.343,0.4964,5.02
3580666,,,2.377,0.6042,10.57
3580961,,,1.719,0.4474,5.08
3580962,,,1.939,0.6375,4.97
3580963,,,2.463,0.6461,7.78
3580964,,,0.9267,0.2799,2.24
3580965,,,1.724,0.4535,9.56
3581238,2.562,,0.8938,0.5148,21.10
3581505,,,3.095,0.6499,19.69
3581506,,,1.307,0.4556,6.73
3581507,,,1.491,0.7197,3.13
3581554,,,1.49,0.2930,6.94
3581555,,,1.46,0.4027,10.39
3581556,,,0.8534,0.4342,12.60
3581557,,,1.811,0.3051,22.70
3581598,,,1.218,0.1542,12.49
3581599,,,1.321,0.2246,2.59
3581657,,,2.145,0.5904,6.16
3581669,,,0.9095,0.7085,5.98
3582010,,,1.899,0.4512,4.10
3582027,,,1.929,0.4777,1.89
3582040,,,2.033,0.7806,8.82
3582041,,,1.788,0.4391,7.85
3582056,,,2.073,0.5444,2.35
3582057,,,2.583,0.5539,6.80
3582083,,,1.653,0.3809,3.56
3582084,,,1.29,0.2954,9.98
3582085,,,2.455,0.5794,1.74
3582086,,,1.464,0.3158,3.35
3582087,,,2.809,0.6056,1.71
3582088,,,1.229,0.2593,6.08
3582089,,,1.931,0.6088,0.84
3582137,,,1.124,0.6868,18.99
3582138,,,1.231,0.3360,35.78
3582139,,,1.5,0.2353,9.22
3582140,,,1.572,0.3169,13.10
3582141,,,1.678,0.2904,9.58
3582142,,,1.579,0.3230,2.67
3582143,,,1.191,0.4408,6.56
3582145,,,0.9786,0.0304,1.06
3582230,,,2.23,0.7325,44.74
3582231,,,1.519,0.4072,21.39
3582232,,,0.937,0.5471,14.57
3582233,,,1.96,0.4541,3.40
3582236,,,0.9719,0.2746,27.74
3582234,,,1.723,0.4312,7.70
3582510,,,1.077,0.1212,11.33
3582511,,,1.762,0.5210,9.06
3582512,,,2.234,0.5953,4.05
3582513,,,3.021,0.7798,20.54
3582514,,,1.437,0.2883,21.74
3582515,,,1.619,0.5371,10.87
3582516,,,1.193,0.1339,9.79
3582517,,,1.758,0.3989,26.37
3582518,,,2.27,0.5125,5.40
3582519,,,1.252,0.4106,21.71
3582520,,,1.777,0.2873,20.84
3582521,,,2.269,0.6217,6.36
3582522,,,1.439,0.2737,5.74
3582523,,,1.071,0.4626,3.93
3582524,,,1.278,0.3129,10.57
3582663,,,2.332,0.6494,6.09
3582664,,,1.199,0.3948,5.66
3582665,,,2.052,0.4826,7.00
3582666,,,1.999,0.4065,38.49
3582667,,,1.716,0.5071,27.76
3582668,,,1.036,0.2395,29.37
3582669,,,1.363,0.4096,13.56
3582864,,,1.4,0.2473,14.29
3582865,,,2.692,0.5369,5.91
3582866,,,2.48,0.5313,5.89
3582867,,,1.184,0.0957,9.11
3582868,,,1.906,0.4842,1.24
3582869,,,2.569,0.6237,0.63
3582870,,,1.799,0.4260,12.81
3583386,,,2.509,0.4888,17.19
3582871,,,1.704,0.4599,4.57
3582873,,,2.922,0.8120,14.26
3583428,,,2.293,0.4710,4.66
3583429,,,2.66,0.5346,6.47
3583690,,,2.14,0.4007,8.83
3583691,,,1.808,0.4967,5.62
3583808,,,1.384,0.2191,1.58
3583809,,,2.704,0.5257,11.00
3583812,,,1.328,0.2182,10.52
3583810,,,1.46,0.3776,6.81
3583811,,,1.698,0.5251,6.26
3583978,,,1.258,0.2640,14.56
3583979,,,2.112,0.5536,8.11
3584135,,,1.489,0.7954,55.65
3584136,,,1.204,0.4294,4.82
3584137,,,2.504,0.5905,11.96
3585280,,,1.871,0.3265,21.27
3584575,,,1.384,0.4931,9.74
3584576,,,1.932,0.7878,7.83
3584577,,,1.349,0.3188,8.04
3584578,,,2.037,0.5784,3.47
3584579,,,1.458,0.5993,47.06
3584580,,,2.667,0.8026,11.68
3584581,,,3.724,0.6775,42.97
3584582,,,1.96,0.3508,26.20
3584583,,,1.035,0.0765,4.54
3584584,,,1.03,0.3243,7.72
3584585,,,1.287,0.1874,8.51
3584586,,,1.675,0.3574,10.09
3584587,,,1.506,0.3798,19.49
3584588,,,2.02,0.4850,6.78
3585467,,,1.08,0.2595,1.72
3585470,,,2.421,0.6710,4.72
3585468,,,1.487,0.3321,12.26
3585469,,,2.74,0.6121,1.39
3585731,,,1.321,0.4174,8.02
3586021,,,1.903,0.4546,8.08
3586022,,,2.463,0.4798,3.04
3586024,,3.079,2.508,0.5191,12.09
3586026,,,1.676,0.6137,1.73
3586027,,,2.199,0.5564,30.47
3586029,,,2.387,0.5463,16.69
3587870,,,1.758,0.3183,23.10
3587871,,,2.28,0.7742,1.26
3588019,,,1.981,0.4510,8.35
3587872,,,0.8447,0.2856,30.38
3587873,,,1.76,0.4252,6.18
3587874,,,1.203,0.0985,9.40
3587875,,,1.361,0.2287,5.67
3588015,,,2.397,0.5899,5.42
3588016,,,1.886,0.5670,1.53
3588017,,,2.367,0.5887,3.86
3588018,,,1.082,0.3924,12.50
3588022,,,1.184,0.0440,3.04
3588023,,,1.529,0.1597,22.68
3588062,,,1.36,0.4143,0.95
3588063,,,1.807,0.4702,0.19
3588064,,,1.94,0.5189,6.27
3588065,,,1.189,0.2992,11.84
3588388,,,2.32,0.4539,9.70
3588389,,,2.21,0.5148,5.88
3588534,,,1.689,0.2437,1.96
3588783,,,2.115,0.7237,22.03
3588784,0.1667,,2.308,0.7890,14.89
3588787,3.541,,1.993,0.4708,7.02
3588846,,,2.379,0.4849,22.46
3588847,,,2.74,0.5866,14.55
3588898,,,1.737,0.4256,10.65
3588899,,,1.484,0.2884,9.05
3588900,,,1.302,0.5412,59.49
3589133,,,1.947,0.5409,11.49
3589134,,,1.814,0.3644,3.13
3589135,,,0.8117,0.3457,5.22
3589136,,,2.415,0.6990,20.72
3589137,,,2.177,0.4292,21.59
3589138,,,1.905,0.5881,3.80
3589139,,,1.416,0.1652,14.53
3589296,,,2.367,0.4932,22.85
3589297,,,2.321,0.5122,20.29
3589298,,,1.146,0.4145,26.57
3589299,,,1.531,0.4101,3.59
3589300,,,1.83,0.3798,32.12
3589301,,,1.657,0.3674,1.07
3589302,,,2.473,0.8948,4.87
3589303,,,1.218,0.4678,21.26
3589543,,,2.842,0.6150,10.48
3589544,,,2.515,0.7800,6.04
3589545,,,1.698,0.3630,13.70
3589546,,,1.298,0.3554,18.28
3589591,,,0.9773,0.3535,13.69
3589592,,,2.097,0.6666,5.91
3589593,,,2.049,0.6624,7.08
3589714,,,2.053,0.5346,1.21
3589716,,,1.778,0.4495,2.36
3589717,,,1.307,0.2066,35.74
3589718,,,1.685,0.3535,13.06
3589719,,,1.361,0.2365,16.83
3590075,,,1.256,0.1341,21.60
3590076,,,1.282,0.3391,9.48
3590078,,,2.227,0.4329,6.13
3590183,,,1.814,0.4536,4.19
3590304,,,2.635,0.5069,11.20
3590266,,,2.655,0.6659,11.36
3590911,,,2.001,0.5810,28.81
3591267,,,1.641,0.7408,30.81
3591407,0.73,,1.467,0.9259,28.02
3591409,,,1.687,0.3734,14.04
3591447,,,1.934,0.5486,1.72
3591465,,,1.81,0.3266,34.95
3591595,,,2.813,0.7293,3.06
3591611,,,1.164,0.2989,28.06
3591612,,,2.526,0.5527,11.12
3591613,,,1.291,0.2204,17.26
3591614,,,2.046,0.5775,5.85
3591615,,,2.345,0.4840,8.99
3591616,,,1.211,0.1722,9.30
3591617,4.8247,,2.242,0.5215,2.40
3591641,,,0.8646,0.4430,2.93
3591642,,,0.954,0.3306,25.22
3591643,,,1.576,0.2907,24.74
3591688,,,1.484,0.3286,5.05
3591689,,,1.127,0.1628,12.82
3591720,,,2.781,0.6252,12.33
3591721,,,2.621,0.7144,8.64
3591722,,,1.06,0.0926,27.07
3591723,,,1.339,0.1734,16.05
3591724,,,1.419,0.3580,4.42
3591749,,,3.424,0.6797,7.37
3591750,,,2.243,0.4735,9.95
3591751,,,1.259,0.2326,23.16
3591752,,,2.632,0.6000,3.57
3591753,,,1.23,0.1565,23.06
3591754,,,0.7658,0.3089,6.97
3591755,,,1.044,0.0471,25.03
3591756,,0.424,2.555,0.5935,32.72
