"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)","H(mag)"
20006050,5.7566,2.884,2.203,0.4371,6.40,15.01
20006053,2.573,3.720,2.147,0.5287,21.58,14.92
20006063,48.6,1.4,2.221,0.7625,4.96,16.04
20006178,3.5002,2.3,2.815,0.5843,4.31,15.78
20006239,3.5558,,1.151,0.4126,3.94,18.61
20006455,2.7361,4.626,2.241,0.5724,37.34,14.02
20006456,2.50129,,2.192,0.4093,8.22,16.00
20006489,6.026,0.53,2.485,0.6123,2.27,19.22
20006491,2.69,,2.501,0.5903,5.95,18.74
20006569,5.958,,1.626,0.2208,22.64,16.66
20006611,2.5568,1.408,1.696,0.4847,8.70,16.91
20007025,2.5057,0.498,1.476,0.3149,12.61,18.08
20007088,2.679,1.298,1.981,0.3899,8.30,16.84
20007092,,6.319,2.544,0.6944,17.78,15.13
20007236,,,2.725,0.5590,16.33,18.33
20007335,2.58988,1.8,1.772,0.4846,15.17,17.70
20007336,4.307,,2.306,0.4816,7.20,18.91
20007341,4.2096,0.982,1.841,0.5060,5.41,16.96
20007350,3.58264,1.921,1.356,0.3911,7.26,17.29
20007358,125.8,,2.199,0.5023,4.66,14.76
20007474,5.54,,1.566,0.2922,7.09,18.11
20007480,35.9,,1.568,0.3170,9.45,17.24
20007482,2.5999,1.052,1.349,0.3294,33.47,16.66
20007753,42.2,,1.467,0.4816,3.12,18.02
20007822,2.3896,1.602,1.123,0.1646,37.12,17.30
20007839,,0.784,2.165,0.5186,27.11,17.85
20007888,2.337,2.298,2.437,0.6633,26.09,15.19
20007889,2.741,1.680,1.262,0.3462,36.91,15.14
20007977,7.456,,2.226,0.4663,25.16,15.18
20008013,8.4,2.3,2.2,0.4313,7.57,17.10
20008014,50.09,0.7,1.747,0.4562,1.87,18.88
20008034,7.283,,1.83,0.4092,2.02,18.02
20008035,,,1.342,0.4626,28.31,17.11
20008037,12.98,,1.987,0.4175,5.91,16.63
20008176,7.111,,1.575,0.6431,39.59,17.03
20008201,23.949,1.859,2.538,0.7067,9.55,15.95
20008507,,,1.687,0.5945,14.59,17.21
20008566,4.845,1.568,1.506,0.4303,37.98,16.32
20008567,8.7573,2.928,2.045,0.4495,8.45,15.35
20008709,50.6,,2.529,0.4890,3.52,17.08
20009058,,,1.557,0.3597,16.09,17.91
20009162,15.13,1.127,1.497,0.5955,9.01,18.02
20009172,,,2.71,0.5529,7.84,16.65
20009202,,1.617,1.424,0.6077,40.80,16.04
20009400,97.1,3.698,2.587,0.5808,36.00,14.86
20009856,3.045,1.0,2.242,0.6259,9.83,17.11
20009950,6.712,,2.439,0.5329,14.59,16.21
20010115,7.319,0.938,1.248,0.3248,15.32,17.16
20010145,49.2892,,1.901,0.6329,4.55,17.01
20010150,2.965,,2.375,0.5440,45.94,15.48
20010165,,0.829,1.235,0.5037,23.90,17.43
20010302,19.164,,1.273,0.1369,4.38,19.45
20010563,,,1.007,0.2663,63.46,16.94
20010636,9.876,0.533,1.885,0.5126,13.58,17.70
20010860,,,2.579,0.5744,4.15,17.32
20011054,2.57223,,1.979,0.4466,3.08,17.08
20011066,8.4958,2.104,1.392,0.3755,36.88,15.23
20011284,5.43,,1.74,0.3374,1.99,18.26
20011311,,,2.117,0.5359,25.49,15.91
20011398,38.6,1.316,1.721,0.3893,15.02,16.41
20011405,6.504,3.621,1.46,0.3939,22.86,15.19
20011500,73,0.738,1.08,0.3559,10.31,18.37
20011885,7.368,1.298,1.703,0.4745,19.43,18.52
20012538,2.575,1.663,1.542,0.4063,24.54,15.91
20012711,3.4848,,1.186,0.2721,38.49,15.98
20012923,3.893,2.060,1.962,0.4920,5.31,15.82
20013553,58.,,2.189,0.4640,5.88,16.54
20013651,33.644,0.562,1.336,0.3057,17.25,17.89
