"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)","H(mag)"
20141484,,1.034,0.858,0.3695,16.60,16.31
20141495,2.327,,1.114,0.8022,2.35,18.47
20141498,5.02,,0.9216,0.5665,30.14,18.50
20141525,14.45,,1.087,0.7246,34.04,18.07
20141526,,,1.014,0.3224,30.10,20.20
20141527,6.306,,1.514,0.6267,9.20,18.94
20141531,73.,0.303,0.9921,0.5290,22.55,19.15
20141593,12.69,,2.001,0.5290,2.35,18.32
20141614,,,1.624,0.5363,7.19,19.52
20141670,4.693,,2.386,0.4848,13.32,16.86
20141761,,,2.577,0.5082,18.90,17.47
20141765,,,2,0.4693,33.07,16.30
20141851,,,1.198,0.8502,19.14,17.80
20141874,,,1.835,0.3486,10.99,17.82
20142040,3.853,1.232,1.667,0.3445,28.25,16.26
20142348,5.0689,,2.065,0.4576,6.07,18.33
20142464,5.131,0.886,1.234,0.1548,16.28,18.30
20142555,,,2.632,0.5636,23.40,16.36
20142561,,,1.674,0.2934,16.65,18.21
20142563,,0.860,1.66,0.3440,20.49,17.20
20142781,6.81,1.595,1.951,0.3875,41.03,16.25
20143381,5.0678,,2.595,0.5111,5.48,16.21
20143404,78.64,,1.969,0.6061,2.66,16.95
20143409,10.531,,1.949,0.3512,8.17,17.92
20143487,7.021,,2.124,0.7297,4.99,18.94
20143527,,,1.661,0.3522,17.31,18.66
20143624,32.1,2.137,1.967,0.5761,35.59,15.96
20143637,,,1.746,0.8838,43.57,16.43
20143643,,,2.181,0.4167,11.11,18.31
20143649,2.6446,,1.085,0.1869,62.10,17.39
20143651,114.4,,2.135,0.5249,11.62,16.10
20143678,35,,1.649,0.3286,13.87,16.40
20143947,,,2.181,0.6549,21.03,15.37
20143992,,,1.971,0.5541,27.14,16.17
20144332,7.985,,1.423,0.2898,55.90,16.64
20144411,49.94,,1.918,0.5333,8.79,16.55
20144861,,,2.51,0.7492,39.42,15.43
20144898,3.369,,1.508,0.5887,4.22,18.90
20144900,,,0.9683,0.6556,36.26,18.29
20144901,8.06,2.240,1.64,0.5213,13.04,17.54
20144922,4.7894,,2.132,0.4125,8.23,17.36
20145656,2.968,,2.641,0.5553,11.09,16.43
20152558,8.147,1.4,2.013,0.4417,38.15,16.89
20152560,3.49,,1.443,0.3981,3.44,19.23
20152561,,,1.454,0.4857,19.58,19.10
20152563,32.,0.272,0.9077,0.2715,7.26,19.81
20152564,3.276,0.282,1.391,0.5618,13.32,19.69
20152575,16.28,,2.683,0.5259,12.35,17.10
20152637,,,0.8648,0.2085,16.72,17.87
20152664,17.38,,2.526,0.7139,3.42,19.68
20152667,,,2.81,0.7064,6.67,16.42
20152671,,0.298,1.129,0.3660,2.68,20.24
20152679,125,4.167,2.251,0.5529,4.93,16.67
20152680,,,1.448,0.6398,10.93,19.59
20152685,,,1.347,0.5731,0.15,19.34
20152742,,0.413,0.8782,0.7391,13.43,19.11
20152754,8.021,0.414,1.191,0.4974,2.02,19.30
20152756,2.845,,1.451,0.4149,15.22,18.99
20152770,,,1.878,0.6539,7.14,18.41
20152787,,,1.363,0.2316,15.95,18.69
20152828,,,1.162,0.5233,5.15,21.28
20152889,,1.022,1.679,0.6409,41.56,16.64
20152895,,,2.291,0.4941,2.97,18.17
20152931,4.1367,1.646,0.9298,0.4557,28.58,16.35
20152941,,0.820,1.481,0.6809,8.74,17.62
20152942,,,1.939,0.4566,27.08,16.75
20152952,4.179,0.776,1.384,0.1870,55.30,17.55
20152964,,0.788,1.397,0.3932,13.23,17.79
20152978,10.009,0.531,1.162,0.2366,25.01,19.57
20153002,6.051,,1.341,0.7959,31.43,18.28
20153195,,1.327,1.301,0.6190,41.11,17.51
20153201,5.022,0.510,0.9112,0.7807,7.77,19.34
20153219,,1.289,2.089,0.4354,40.33,18.54
20153220,,,2.53,0.6778,5.98,17.41
20153243,,,1.299,0.5307,35.98,17.50
20153249,,3.160,2.118,0.5904,41.24,15.49
20153267,,,1.782,0.6139,9.67,17.90
20153271,,2.441,1.557,0.4023,21.65,17.42
20153306,,,2.552,0.5232,26.98,16.79
20153311,,,2.501,0.6462,28.42,17.40
20153315,,,1.237,0.4497,34.70,19.51
20153349,,,1.799,0.6393,10.54,18.64
20153415,4.452,,0.8915,0.2139,50.21,17.01
20153460,,,1.414,0.5811,10.09,19.69
20153591,3.423,2,1.987,0.4801,6.69,17.11
20153792,,,2.1,0.7425,10.48,18.16
20153814,4.253,0.932,1.712,0.4670,1.92,18.29
20153842,17.95,1.759,2.752,0.5667,9.00,16.70
20153951,7.072,,1.836,0.3425,15.47,18.74
20153953,,,1.773,0.8091,31.03,16.84
20153957,2.415,,2.532,0.7587,46.53,17.76
20153958,2.8174,,1.703,0.4515,4.64,18.37
20154007,14.91,,1.819,0.3467,2.73,18.13
20154019,,,1.325,0.3603,4.97,22.07
20154020,,,1.541,0.5899,12.13,19.08
20154029,2.554,1.119,1.89,0.4623,44.19,16.57
20154035,,1.098,1.21,0.5321,49.06,17.38
20154144,,,1.834,0.2963,23.62,17.51
20154229,4.48468,,1.851,0.7186,10.09,16.76
20154244,4.6063,,2.307,0.5485,3.25,17.65
20154268,,,1.511,0.4649,14.57,18.10
20154269,,,1.872,0.4860,14.43,17.89
20154275,2.283,,1.083,0.4907,11.58,20.13
20154276,4.823,1.060,1.705,0.6886,8.75,17.64
20154278,7.85,,1.804,0.5918,29.77,16.57
20154300,,,1.209,0.4724,8.29,19.37
20154302,4.329,,1.72,0.5613,28.83,17.69
20154330,8.932,,1.477,0.4090,7.16,18.18
20154347,3.319,,1.85,0.6921,17.75,16.07
20154453,5.23,,2.582,0.8354,20.83,15.32
20154555,5.183,,1.184,0.5803,36.83,16.70
20154589,1.611,1.109,2.29,0.4588,7.18,16.71
20154590,,0.086,1.105,0.4022,1.42,21.71
20154631,,,1.558,0.4915,15.90,18.22
20154652,,,1.058,0.4506,16.18,18.92
20154656,,,2.31,0.6472,22.96,16.41
20154658,,,1.097,0.4548,19.29,19.42
20154715,,,1.619,0.4909,4.10,18.54
20154807,161,0.469,1.484,0.3164,15.53,18.63
20154988,,,1.506,0.6800,9.82,18.40
20154991,,,1.705,0.3229,5.63,18.57
20154993,13.761,0.828,1.516,0.6636,10.33,18.02
20155110,3.479,0.683,1.261,0.3484,30.38,17.49
20155140,5.235,,1.275,0.8724,28.67,17.48
20155334,4.682,,2.034,0.4086,6.62,17.23
20155336,,,2.121,0.7376,4.19,18.41
20155338,,,1.569,0.4826,2.08,20.40
20155340,,,2.107,0.4668,9.24,16.40
20155341,32.8,,1.478,0.2415,18.52,18.30
20159399,4.01,,1.527,0.2139,41.97,16.62
20159402,7.9219,,2.38,0.5719,7.57,16.62
20159454,14.245,0.577,1.411,0.2528,37.75,18.15
20159459,,1.769,2.336,0.7991,56.20,16.33
20159467,3,,1.809,0.2828,6.14,18.33
20159495,,,2.348,0.4830,4.07,17.56
20159504,7.84,2.324,2.433,0.6174,9.69,16.99
20159518,,1.784,2.104,0.4442,47.51,17.99
20159533,3.66,,1.654,0.2890,12.85,17.68
20159555,,,1.63,0.2300,29.44,18.79
20159560,,1.156,2.213,0.4344,25.73,17.14
20159608,,,1.674,0.3517,58.88,16.59
20159609,,,2.111,0.4630,40.01,17.24
20159635,,,1.703,0.3242,16.24,18.20
20159677,,,1.851,0.5949,6.06,19.45
20159686,,1.845,1.804,0.6882,24.73,16.38
20159699,,,1.697,0.7157,16.81,17.70
20159856,,,2.155,0.4648,9.75,17.97
20159857,2.72627,3.070,2.263,0.5937,23.15,15.47
20159923,,,2.523,0.5246,7.52,16.42
20159928,,,1.655,0.4193,27.75,17.99
20159929,33.4,2.620,1.887,0.4074,54.44,17.73
20161989,3.7538,1.9,1.123,0.2138,26.07,17.31
20161995,,,2.286,0.4789,25.27,17.27
20161998,13.4,,2.147,0.4051,8.23,17.61
20161999,,0.458,2.316,0.5125,7.37,18.61
20162000,2.536,0.4,1.678,0.4627,1.09,19.64
20162004,13.4895,,0.8908,0.6646,7.22,18.33
20162011,2.998,,2.833,0.5973,4.55,16.60
20162015,,,0.9931,0.2840,23.76,19.25
20162038,7.16,1.959,1.587,0.2765,17.23,16.70
20162039,,,1.801,0.6606,5.28,19.06
20162058,1880,0.847,2.367,0.5547,4.85,17.99
20162063,,,1.214,0.6666,13.01,18.95
20162080,,0.777,0.8967,0.3582,16.21,19.95
20162082,11.7864,,1.246,0.1870,20.05,19.12
20162116,,0.538,1.916,0.5582,7.11,19.56
20162117,7.33,,0.9326,0.3449,26.80,19.14
20162120,,,1.088,0.5709,2.13,20.72
20162142,8.44,0.462,0.8754,0.3179,21.81,18.83
20162149,,,1.874,0.3968,11.93,17.32
20162157,,,1.297,0.3515,15.27,19.95
20162161,,,2.115,0.4432,43.14,17.68
20162162,,,1.206,0.1949,10.84,20.04
20162168,3.85,,2.804,0.5866,4.06,17.34
20162173,7.63262,0.896,1.191,0.1911,5.87,19.38
20162181,37.26,0.729,1.41,0.2806,18.94,18.23
20162183,,,2.073,0.5353,1.43,21.25
20162186,8.36,,2.712,0.6110,27.51,15.02
20162195,,,1.598,0.7729,5.89,19.50
20162196,,,1.826,0.3749,22.43,18.79
20162210,6.23,,2.304,0.6948,5.19,19.30
20162214,,,2.323,0.5857,19.16,18.90
20162215,,,1.082,0.4367,17.34,19.21
20162269,,1.010,1.135,0.7379,40.13,16.98
20162273,7.38,,1.594,0.2360,20.18,17.27
20162361,3.4558,,0.8772,0.4112,2.70,20.24
20162385,9.463,0.812,0.7406,0.3587,6.88,18.61
20162416,24,,1.854,0.4783,0.40,21.67
20162421,8.947,,0.9467,0.1238,22.32,18.33
20162422,,,1.207,0.5310,1.40,20.59
20162433,,,1.359,0.4814,13.94,19.37
20162452,,,2.262,0.4473,5.46,18.53
20162463,3.024,1.048,1.146,0.2383,22.21,17.84
20162470,,,1.113,0.5530,35.27,19.24
20162472,,,1.259,0.1183,31.86,19.17
20162474,,,1.241,0.3574,50.71,18.62
20162483,2.642,0.906,0.8727,0.3736,51.18,17.55
20162510,,1.406,1.376,0.3023,38.15,17.52
20162566,50.67,4.299,2.627,0.5755,14.28,15.75
20162567,2.439,0.335,1.247,0.2500,13.75,19.97
20162581,,,1.667,0.3515,15.89,18.67
20162635,6.8939,,2.571,0.5148,7.88,16.71
20162679,,,1.2,0.5717,29.24,18.01
20162687,,,1.875,0.5437,14.77,18.90
20162694,,,0.8703,0.4225,32.23,19.75
20162695,,,2.123,0.6350,2.19,20.20
20162698,,,2.119,0.4877,20.69,18.48
20162723,4.571,,1.774,0.6818,6.39,17.73
20162740,,,2.458,0.5036,39.22,18.53
20162741,,3.945,2.319,0.4995,11.85,17.52
20162781,2.9959,,2.226,0.4265,10.04,18.02
20162783,,,1.314,0.2323,7.26,20.91
20162825,,,1.775,0.7432,9.07,17.97
20162854,,,1.323,0.1493,21.27,19.15
20162873,,,1.4,0.0865,20.20,19.27
20162882,,,1.092,0.5753,6.50,18.82
20162900,60.61,,2.577,0.5350,6.16,15.99
20162903,,1.086,1.305,0.2373,47.49,18.63
20162911,,,1.204,0.3393,7.95,19.33
20162913,,,1.271,0.5197,8.65,18.38
20162922,,,1.318,0.3818,10.30,20.91
20162926,,,2.943,0.6179,42.65,17.12
20162979,,,2.036,0.5441,17.09,18.32
20162980,12.71,0.790,1.553,0.4886,30.40,16.77
20162998,68,0.875,1.926,0.4741,1.68,18.17
20163000,69.97,,1.248,0.0514,3.55,19.24
20163001,,,2.123,0.4536,19.98,18.41
20163014,,,1.787,0.4455,9.94,17.72
20163015,,,1.417,0.3683,10.62,22.07
20163023,,,0.7973,0.5464,27.15,19.52
20163026,,,1.297,0.3654,11.86,21.24
20163051,4.693,,2.271,0.5691,9.28,16.41
20163067,,,2.043,0.5880,7.60,19.99
20163070,,,2.911,0.6351,14.54,18.42
20163081,19.64,,1.087,0.2032,11.50,18.57
20163132,,0.460,1.22,0.2952,48.78,18.61
20163191,3,,1.836,0.4644,16.30,19.44
20163243,6.231,1.682,0.7616,0.6017,20.28,16.52
20163249,3.7663,,1.344,0.3349,6.97,18.71
20163250,,,2.694,0.5350,35.26,15.58
20163252,7,,2.13,0.4409,9.00,17.91
20163295,,,2.462,0.6447,5.81,19.49
20163335,,,1.328,0.6668,56.32,17.21
20163348,14.5,0.735,0.8758,0.4345,5.42,20.08
20163364,2.42,,1.365,0.3692,4.19,18.91
20163373,148.7,,1.469,0.5466,1.67,19.03
20163412,,,1.907,0.4510,34.49,17.34
20163454,,0.712,1.162,0.3699,23.12,19.10
20163667,,,2.583,0.5716,4.64,19.88
20163679,,,1.495,0.4716,5.06,19.31
20163683,,,1.577,0.6883,20.63,19.11
20163691,6.649,3.449,2.417,0.5220,40.84,17.10
20163692,27.66,,1.526,0.4105,7.21,18.26
20163693,3.398,,0.741,0.3222,25.62,16.39
20163694,2.387,0.832,2.64,0.5433,9.82,17.50
20163696,62.06,,1.571,0.5191,29.50,16.45
20163697,,,1.609,0.4728,2.95,20.08
20163732,151.1,,2.751,0.6966,44.65,15.48
20163758,,,1.296,0.7412,41.53,17.42
20163760,,2.343,2.511,0.5045,13.07,16.69
20163818,5.649,0.386,1.229,0.3543,10.39,18.47
20163899,285,0.791,0.8276,0.2099,8.54,17.63
20163902,4.76,,1.661,0.2478,16.11,17.21
20164120,,,1.512,0.4083,11.03,19.12
20164121,2.343,1.717,1.11,0.2919,44.06,16.33
20164184,5.568,,1.627,0.4538,4.60,19.48
20164201,3.909,,1.997,0.8602,34.61,15.73
20164202,11.1,,0.988,0.2791,4.67,20.91
20164206,,1.138,1.701,0.4096,18.28,17.70
20164207,,0.163,1.001,0.1360,13.65,21.19
20164211,,,1.666,0.4233,2.26,19.50
20164214,,,2.12,0.3924,5.46,19.27
20164215,,,2.115,0.3960,4.88,20.01
20164216,,,2.152,0.5648,19.94,17.29
20164217,,,2.013,0.4162,48.92,17.29
20164221,,,1.505,0.2054,6.48,20.43
20164222,,,1.304,0.2469,16.11,20.85
20164294,,,0.6175,0.4546,2.95,20.45
20164341,,,1.627,0.2541,13.01,20.59
20164342,,,1.57,0.3613,19.17,20.99
20164400,38.69,,1.657,0.4679,6.63,17.38
20168044,,,0.9813,0.2833,34.84,19.09
20168318,3.925,0.9,2.163,0.5423,6.49,18.98
20168378,5.721,0.841,2.138,0.4483,6.81,16.93
20168791,,,2.295,0.5049,5.18,18.87
20169352,,0.316,2.083,0.5193,32.29,19.36
20169675,45.84,,2.721,0.5479,12.62,16.61
20170013,,,2.948,0.7997,25.39,17.77
20170086,,,1.907,0.6257,2.13,18.24
20170502,7.2,,2.472,0.8818,10.51,17.36
20170891,2.795,,1.982,0.4058,8.16,16.98
20170903,,,1.336,0.6033,8.27,18.18
20171486,,,1.794,0.5128,6.09,18.42
20171576,2.796,,1.086,0.5834,17.28,18.69
20171819,15.24,,1.496,0.1664,9.95,18.40
20171839,5.7516,,1.461,0.3110,17.07,19.24
20172034,8.0475,0.631,1.277,0.2026,25.03,17.84
20172678,,,2.584,0.6981,2.74,18.95
20172718,,,1.61,0.2047,19.57,18.90
20172722,,,1.544,0.6996,7.22,17.67
20172974,,,1.637,0.2465,8.47,19.42
20173232,,,2.744,0.5329,9.60,18.31
20173561,2.722,,1.448,0.3111,28.00,18.36
20173664,,,1.517,0.2688,4.01,19.75
20173689,,0.724,1.78,0.3946,10.42,18.26
20174050,3.514,,1.285,0.1135,50.06,17.64
20174806,,,2.531,0.5678,10.62,17.27
20174881,,,1.254,0.5570,57.23,18.10
20175114,8.879,,2.249,0.6636,5.72,16.64
20175189,3.758,,2.058,0.3865,2.62,18.29
20175706,3.5942,1.196,1.054,0.3497,1.99,18.36
20175729,,,1.272,0.4247,11.54,20.45
20175921,,1.039,1.369,0.4838,20.70,18.33
20177016,,,1.16,0.5820,13.81,20.07
20177049,,,1.418,0.6144,0.65,19.83
20177255,,,2.295,0.4859,10.25,16.82
20177614,,,1.889,0.5207,5.44,17.59
20177651,,,1.154,0.6988,42.39,17.52
20178601,,,2.473,0.4922,4.18,17.74
20178871,,,2.374,0.4622,7.58,17.79
20179806,9.455,,1.858,0.5345,4.93,20.46
20180186,,,2.421,0.6314,8.57,17.58
20183548,,,1.845,0.3403,10.53,17.79
20184266,2.5009,,2.122,0.5976,3.83,19.49
20184990,2.5435,2.039,1.053,0.7992,45.11,16.44
20185702,,,1.828,0.2996,24.70,18.14
20185716,6.864,0.629,1.685,0.2736,35.19,17.95
20185851,2.7754,0.863,1.365,0.3764,8.67,18.33
20185853,,,1.857,0.3107,36.91,16.94
20186822,,,1.574,0.4528,13.06,17.86
20186823,,,1.205,0.6769,21.97,19.12
20186844,,,2.432,0.6724,7.77,17.54
20187026,,,0.9595,0.1353,30.00,17.41
20187040,,0.430,1.356,0.3226,6.04,19.23
20188174,2.472,,0.8189,0.3908,40.86,17.44
20188452,5.36,,2.55,0.5727,24.69,17.50
20189008,5.36,,2.169,0.7933,8.04,16.41
20189011,,,1.5,0.2323,18.70,19.08
20189040,,,1.372,0.3827,13.09,19.88
20189058,,,2.571,0.5116,26.22,16.65
20189062,,,1.927,0.3872,12.85,18.60
20189173,,,1.844,0.5705,43.07,18.93
20189263,,,2.728,0.5889,16.75,15.73
20189552,,,2.558,0.5352,30.15,16.94
20189630,,,1.206,0.6931,12.62,17.83
20189700,5,,1.463,0.1914,10.72,19.20
20189865,,,1.406,0.8055,21.57,19.43
20189973,,,1.845,0.3772,26.96,17.57
20190119,,1.451,2.466,0.8903,29.89,17.06
20190135,,,2.019,0.6880,6.22,17.33
20190161,,3.041,2.238,0.4531,3.98,16.73
20190166,40.542,1.045,2.116,0.4695,4.21,17.27
20190208,182.,,2.053,0.4864,4.09,18.20
20190491,2.46,,1.319,0.2346,5.28,21.06
20190758,,,1.749,0.3645,13.96,18.42
20190788,,,1.268,0.7924,20.11,18.36
20191094,,,2.115,0.6412,32.16,20.16
20192559,,,1.075,0.2265,10.06,20.43
20192563,,,1.452,0.4079,24.76,17.32
20192642,17.08,,2.642,0.7695,6.80,16.48
20193178,,,1.935,0.7013,13.13,17.74
20194006,,,1.449,0.4243,4.26,20.46
20194126,5.09,,1.433,0.2478,26.68,17.91
20194268,6.802,1.244,1.453,0.7873,5.44,18.35
20194386,6.38,0.916,2.302,0.6134,13.68,17.01
20196068,,,2.117,0.6645,59.36,18.13
20196256,,,3.123,0.6185,70.85,16.19
20196625,,,1.847,0.5913,13.73,20.29
20197588,,,1.845,0.4661,42.73,17.23
20198752,,,2.51,0.5236,1.76,19.94
20198856,,0.742,1.654,0.3353,25.00,16.99
20199003,4.3825,,0.9592,0.1521,21.61,18.18
20199145,,,1.649,0.7314,3.76,18.29
20199801,,,1.685,0.5694,2.28,19.36
20200754,3.653,0.553,1.756,0.5171,15.51,18.51
20200840,,,2.321,0.5608,1.94,17.79
20202411,,,2.152,0.7520,16.26,17.65
20202435,,,1.323,0.6915,29.06,18.05
20202683,,,0.6371,0.5623,3.44,19.78
20203015,,,1.487,0.1432,26.76,18.64
20203217,,,1.933,0.3303,3.50,18.74
20203471,13.26,,0.8554,0.3736,17.18,19.45
20204131,,,1.147,0.6324,5.65,19.93
20204232,,,1.248,0.5634,17.34,18.51
20205378,,,1.363,0.1415,19.36,18.87
20205388,,,1.373,0.1708,12.37,20.93
20205744,,,2.299,0.7473,11.94,18.27
20206359,45.8,,1.792,0.3032,33.11,18.21
20206378,37.5,0.376,1.788,0.4392,6.72,18.76
20206910,,,2.575,0.7153,5.02,17.28
20207398,4.48,,2.092,0.6410,2.59,20.38
20207945,3.1499,0.423,1.039,0.1186,8.71,19.60
20207970,,,2.63,0.5314,3.39,18.13
20208023,2.67,,0.934,0.2353,6.50,20.52
20208115,,,1.299,0.3547,23.30,20.84
20208565,4.339,,1.258,0.5388,53.86,17.18
20208617,,,1.758,0.6837,9.92,17.84
20209215,,,0.989,0.1211,2.56,24.30
20209924,2.726,1.861,2.03,0.4532,23.76,16.32
20210012,,,2.308,0.4732,9.25,16.75
20211871,,0.411,1.846,0.5112,7.88,18.87
20211914,,,2.604,0.6015,19.48,17.89
20212359,,1.261,2.017,0.7074,15.95,16.70
20212546,,,2.132,0.5155,7.36,17.71
20213053,,,1.813,0.3367,0.51,19.86
20213869,,,1.859,0.6034,37.00,17.80
20214088,6.342,2.423,2.891,0.6903,13.34,15.43
20214869,102.24,,2.849,0.6528,2.00,16.51
20215167,,,1.69,0.3088,26.97,18.91
20215188,9.24,,2.686,0.6637,22.28,15.48
20215442,473,1.075,0.9137,0.2742,36.28,18.51
20215588,,0.488,1.114,0.6754,3.06,19.43
20215757,4.99531,0.780,1.837,0.3671,24.88,17.96
20216115,,,1.526,0.5868,2.09,18.98
20216258,7.3,,1.671,0.4852,2.63,20.33
20216523,0.042,,0.9138,0.4121,5.21,20.70
20216707,15.486,,2.177,0.4129,22.70,17.56
20216985,,,1.18,0.2618,4.72,21.34
20217013,,,1.321,0.1981,43.88,18.80
20217390,,,1.626,0.4780,28.48,18.82
20217430,,,1.23,0.2706,13.01,19.71
20217628,8.55,1.4,2.528,0.7112,4.44,16.67
20217683,,,2.227,0.4165,5.49,18.91
20217796,,,2.743,0.6194,37.55,17.23
20217807,51.9,,1.724,0.3855,11.24,18.38
20217837,,,1.055,0.6774,16.96,19.29
20218017,,0.451,1.196,0.1927,12.00,19.81
20218863,210.,1.237,2.197,0.5473,11.03,16.34
20219021,,,1.357,0.7331,53.12,17.02
20219071,3.319,0.657,1.053,0.2821,20.02,17.18
20219527,,,2.484,0.5376,5.78,17.00
20220124,3.89,0.609,1.457,0.3779,51.35,18.77
20220839,6.7906,,1.901,0.5948,3.69,17.46
20220909,,,2.535,0.7049,13.87,18.15
20221455,,,2.015,0.6579,0.93,19.52
20221787,,,1.605,0.1947,2.45,21.29
20221980,,0.432,1.341,0.4007,21.59,19.11
20222008,,,2.364,0.5502,1.67,19.18
20222073,10.37,,1.386,0.1308,34.23,18.11
20222165,,,2.208,0.4817,23.32,17.91
20222869,8.98,,1.796,0.5447,33.71,17.77
20223456,,,1.6,0.3358,5.14,18.25
20224926,,,1.461,0.4398,30.22,17.54
20225312,1.195,,1.189,0.0581,2.47,21.94
20225416,4.531,1.651,1.422,0.8306,38.25,17.39
20225586,,,1.299,0.7072,20.64,18.52
20225900,,,1.905,0.6206,10.56,17.96
20226198,,,1.744,0.2576,8.70,18.89
20226219,,,2.294,0.4436,5.99,18.18
20226514,,,1.095,0.6159,2.56,20.20
20226554,13.404,0.482,1.118,0.2616,9.26,19.64
20228368,,,1.479,0.7019,14.73,18.63
20228502,13.14,0.302,1.084,0.1967,7.63,20.41
20228587,7.45,,1.364,0.0933,23.87,19.64
20229007,,,2.197,0.8469,8.61,17.06
20229672,,,1.333,0.6137,38.18,17.91
20230089,,,1.318,0.2643,21.28,19.46
20230111,4.194,,0.8231,0.3692,17.51,19.28
20230118,,1.166,2.682,0.5607,24.51,17.15
20230420,,,2.327,0.6522,20.12,19.22
20230549,,0.217,1.456,0.3560,13.11,20.79
20230599,,,2.17,0.8173,20.97,17.88
20230979,,1.522,2.861,0.6127,11.21,16.59
20231134,2.6717,,1.975,0.4952,28.53,17.19
20231792,,,1.838,0.3057,37.60,18.51
20231937,39.905,0.55,1.699,0.8258,39.01,17.60
20232368,31.1,,1.42,0.2237,22.87,18.30
20232382,,1.123,2.336,0.4927,7.45,17.26
20232691,,,1.576,0.4696,9.08,19.88
20234061,,2.900,2.361,0.5725,8.16,17.69
20234145,33,0.344,0.9376,0.3212,5.43,21.58
20234341,,0.344,0.9441,0.6043,20.67,18.95
20235086,6.385,1.024,2.351,0.4663,7.40,17.34
20235700,,,2.017,0.7294,17.85,18.57
20235756,7.18,1.136,1.133,0.2588,39.15,18.57
20236716,,,2.176,0.4725,9.83,17.92
20237442,5.101,,1.506,0.2415,20.84,18.17
20237551,,0.630,1.406,0.3469,34.28,18.41
20237805,3.7756,0.703,1.604,0.3412,35.31,17.40
20238063,7.23,1.470,1.738,0.7136,31.79,16.58
20238456,,0.328,1.389,0.3002,18.15,19.42
20239849,,0.450,2.257,0.6336,15.75,18.65
20240320,,,1.459,0.1213,15.82,20.29
20241370,10.83,0.764,1.676,0.3935,17.27,17.42
20241596,8.75,1.548,1.805,0.3405,27.10,17.25
20241662,2.42,0.898,1.83,0.3888,28.62,17.66
20242147,46.32,1.687,1.959,0.7196,23.34,17.02
20242187,,0.605,2.345,0.4805,5.58,17.98
20242191,13.531,0.370,0.7934,0.4923,18.25,19.02
20242211,,,2.319,0.4749,4.84,18.27
20242216,,,2.231,0.5408,39.62,15.58
20242450,,2.914,1.084,0.4772,37.03,14.55
20242643,7.,1.989,1.834,0.8650,8.42,17.49
20242708,63.8,,2.501,0.6954,0.79,18.12
20243025,31.73,2.123,2.674,0.5240,15.89,16.06
20243147,13.538,0.912,2.138,0.4149,7.35,17.39
20243298,,,2.498,0.5572,12.03,15.67
20243566,2.313,0.881,2.463,0.6415,19.91,17.37
20244670,20.887,,1.75,0.4856,11.90,18.21
20244977,,0.495,1.761,0.4445,15.74,18.48
20246138,,0.588,2.165,0.4817,1.69,18.23
20247156,,1.655,2.218,0.5276,21.85,18.16
20247360,,,2.573,0.8369,19.07,19.36
20247517,,0.269,0.817,0.6991,12.76,19.72
20248083,4.66,2.358,3.326,0.6133,23.37,16.12
20248590,,4.726,2.915,0.6970,52.31,16.32
20248818,3.59,,1.673,0.2854,29.22,17.29
20248926,8.45,2.907,1.694,0.3301,24.65,17.13
20249595,19.696,,2.005,0.3704,7.02,17.72
20249615,,,1.968,0.3935,30.43,19.04
20249816,,,2.046,0.4780,7.30,19.32
20249886,,1.201,1.483,0.2834,22.84,17.55
20250162,2.5001,,1.922,0.3274,3.46,19.64
20250458,16.19,0.630,1.019,0.4929,35.56,18.00
20250577,,,1.05,0.5178,46.88,18.35
20250614,,1.617,2.042,0.6593,34.82,16.21
20250620,5.354,0.654,2.109,0.6023,16.08,18.07
20250680,,0.398,0.893,0.3646,9.45,19.63
20250697,11,,1.381,0.4393,12.65,17.95
20250706,7.,0.535,2.958,0.7005,6.93,18.55
20251346,2.718,,2.015,0.5328,8.18,16.89
20251722,,,1.675,0.6612,3.17,19.86
20251732,,,1.201,0.1124,4.20,21.81
20252091,5.44,,2.252,0.7614,9.37,17.24
20252373,,,1.302,0.7356,38.54,18.18
20252399,,0.291,0.8748,0.5460,15.21,19.45
20252558,,0.533,1.089,0.3971,7.16,20.31
20252793,61.2,,1.315,0.2177,46.45,19.27
20253062,26.273,,1.369,0.1963,2.15,21.10
20253106,180,,1.379,0.7928,48.63,16.69
20253586,,,1.448,0.2073,38.75,19.35
20253841,2.27,,2.286,0.6435,8.07,17.28
20254417,,,2.076,0.6046,52.49,17.20
20254419,,0.629,2.075,0.4342,43.51,17.72
20255071,,,1.001,0.6325,2.64,18.36
20255501,,,1.683,0.7317,4.82,18.66
20256004,,,1.584,0.3003,2.29,23.02
20256412,20.,4.444,1.633,0.2238,26.86,16.94
20256670,,,2.012,0.3642,2.31,18.18
20257744,5.8,,1.695,0.5862,7.92,18.61
20257838,11.094,,2.166,0.4186,7.06,18.00
20258325,,,1.719,0.3957,7.94,18.99
20259221,9.09,,1.1,0.8332,23.70,19.24
20259802,,,1.755,0.3302,31.43,18.84
20260141,7.66,,1.133,0.2518,17.75,18.32
20260277,,0.470,0.8951,0.2097,19.36,18.27
20261938,,,1.533,0.2186,0.71,20.43
20262623,16.3,0.761,0.9833,0.3328,27.55,18.64
20263976,2.664,0.785,1.046,0.2615,13.47,18.41
20264308,,,1.436,0.2487,4.28,20.47
20264357,,0.113,0.7469,0.3600,8.59,21.17
20264993,,,1.376,0.4107,3.15,20.41
20265032,,,2.304,0.7024,40.14,16.55
20265187,,,1.249,0.3303,29.56,18.34
